Date;Time;Severity;TID;This;Function;Message
2020/06/05;16:05:47.903;DEBUG;19932;0;client::ExampleTerminalPCSCContactless::loadAndListReaders@81;"Loaded reader: NXP NXP's Proximity based PCSC Reader 0"
2020/06/05;16:05:47.903;INFO;19932;0;client::ExampleTerminalPCSCContactless::loadAndListReaders@87;"Readers loaded"
2020/06/05;16:07:27.366;INFO;21664;0;client::ExampleTerminalPCSCContactless::init@50;"Terminal PCSC initialized"
2020/06/05;16:07:27.370;INFO;21664;0;client::ClientEngine::initClient@74;"Client initialized successfully"
2020/06/05;16:07:27.647;DEBUG;21664;0;client::ExampleTerminalPCSCContactless::loadAndListReaders@81;"Loaded reader: Alcor Micro USB Smart Card Reader 0"
2020/06/05;16:07:27.647;DEBUG;21664;0;client::ExampleTerminalPCSCContactless::loadAndListReaders@81;"Loaded reader: NXP NXP's Proximity based PCSC Reader 0"
2020/06/05;16:07:27.647;INFO;21664;0;client::ExampleTerminalPCSCContactless::loadAndListReaders@87;"Readers loaded"
2020/06/05;16:07:31.679;INFO;21664;0;client::ClientEngine::connectClient@100;"Client trying to connect on IP 127.0.0.1 port 62111"
2020/06/05;16:07:31.686;DEBUG;21664;0;client::ClientTCPSocket::connectClient@59;"Socket = 1696"
2020/06/05;16:07:32.145;DEBUG;21664;0;client::ExampleTerminalPCSCContactless::connect@122;"Reader connected: Alcor Micro USB Smart Card Reader 0"
2020/06/05;16:07:32.145;INFO;21664;0;client::ClientEngine::connectClient@127;"Client connected on IP 127.0.0.1 port 62111"
2020/06/05;16:07:32.146;INFO;20312;0;client::ClientEngine::waitingRequests@158;"Client ready to process incoming requests"
2020/06/05;16:07:36.824;INFO;20312;0;client::ClientEngine::handleRequest@181;"Request received from server: {""data"":"""",""request"":3,""timeout"":5500}"
2020/06/05;16:07:36.832;INFO;17000;0;client::Echo::run@24;"Request ""echo"" is being processed"
2020/06/05;16:07:36.844;INFO;20312;0;client::ClientEngine::sendResult@235;"Response sent to server: {""client_description"":""OK"",""err_card_code"":0,""err_card_description"":""OK"",""err_client_code"":0,""err_server_code"":0,""err_server_description"":""OK"",""err_terminal_code"":0,""response"":""6D 00"",""terminal_description"":""OK""}"
2020/06/05;16:07:51.673;INFO;20312;0;client::ClientEngine::handleRequest@181;"Request received from server: {""data"":""00"",""request"":6,""timeout"":54999}"
2020/06/05;16:07:51.674;INFO;24496;0;client::Command::run@24;"Request ""command"" is being processed"
2020/06/05;16:07:51.694;DEBUG;24496;0;client::ExampleTerminalPCSCContactless::sendCommand@139;"Failed to call SCardTransmit() [error:The parameter is incorrect.][card:16861477009170104323][pbSendBuffer:0x24fe99070e0][cbSendLength:1][recvbuffer:m][recvlength:65536]"
2020/06/05;16:07:51.695;INFO;20312;0;client::ClientEngine::sendResult@235;"Response sent to server: {""client_description"":""OK"",""err_card_code"":0,""err_card_description"":""OK"",""err_client_code"":0,""err_server_code"":0,""err_server_description"":""OK"",""err_terminal_code"":87,""response"":""KO"",""terminal_description"":""Failed to send command: The parameter is incorrect.""}"
2020/06/05;16:08:38.272;INFO;20312;0;client::ClientEngine::handleRequest@181;"Request received from server: {""data"":"""",""request"":2,""timeout"":4999}"
2020/06/05;16:08:38.274;INFO;13964;0;client::ExampleTerminalPCSCContactless::disconnect@293;"Terminal PCSC disconnected successfully"
2020/06/05;16:08:38.281;INFO;13964;0;client::ClientEngine::disconnectClient@150;"Client disconnected successfully"
2020/06/05;16:08:38.281;DEBUG;20312;0;client::ClientTCPSocket::sendPacket@106;"Failed to receive data from server -  [socket:18446744073709551615][buffer:-788529152][size:4][flags:0]"
2020/06/05;16:08:38.281;DEBUG;20312;0;client::ClientEngine::sendResult@230;"Error during sendResult"
2020/06/05;16:08:38.281;INFO;20312;0;client::ClientEngine::waitingRequests@170;"Client not waiting for requests"
2020/06/05;16:09:13.555;INFO;21664;0;client::ClientEngine::connectClient@100;"Client trying to connect on IP 127.0.0.1 port 62111"
2020/06/05;16:09:13.560;DEBUG;21664;0;client::ClientTCPSocket::connectClient@59;"Socket = 1772"
2020/06/05;16:09:13.664;DEBUG;21664;0;client::ExampleTerminalPCSCContactless::connect@122;"Reader connected: Alcor Micro USB Smart Card Reader 0"
2020/06/05;16:09:13.665;INFO;21664;0;client::ClientEngine::connectClient@127;"Client connected on IP 127.0.0.1 port 62111"
2020/06/05;16:09:13.665;INFO;21632;0;client::ClientEngine::waitingRequests@158;"Client ready to process incoming requests"
2020/06/05;16:09:20.943;INFO;21632;0;client::ClientEngine::handleRequest@181;"Request received from server: {""data"":"""",""request"":3,""timeout"":5500}"
2020/06/05;16:09:20.944;INFO;14388;0;client::Echo::run@24;"Request ""echo"" is being processed"
2020/06/05;16:09:20.956;INFO;21632;0;client::ClientEngine::sendResult@235;"Response sent to server: {""client_description"":""OK"",""err_card_code"":0,""err_card_description"":""OK"",""err_client_code"":0,""err_server_code"":0,""err_server_description"":""OK"",""err_terminal_code"":0,""response"":""6D 00"",""terminal_description"":""OK""}"
